,region,cluster
0,1,2
1,2,5
2,3,2
3,4,1
4,5,1
5,6,1
6,7,1
7,8,3
8,9,1
9,10,4
10,11,1
11,12,1
12,13,1
13,14,3
14,15,1
15,16,2
16,17,3
17,18,3
18,19,1
19,21,3
20,22,3
21,23,1
22,24,1
23,25,1
24,26,1
25,27,5
26,28,5
27,29,2
28,30,1
29,31,2
30,32,3
31,33,1
32,34,1
33,35,3
34,36,3
35,37,3
36,38,2
37,39,1
38,40,1
39,41,3
40,42,1
41,43,1
42,44,2
43,45,3
44,46,1
45,47,2
46,48,1
47,49,3
48,50,2
49,51,5
50,52,2
51,53,3
52,54,2
53,55,3
54,56,2
55,57,3
56,58,2
57,59,4
58,60,5
59,61,3
60,62,5
61,63,2
62,64,1
63,65,1
64,66,1
65,67,2
66,68,1
67,69,1
68,70,2
69,71,2
70,72,3
71,73,1
72,74,1
73,76,4
74,77,4
75,78,2
76,79,3
77,80,5
78,81,2
79,82,2
80,83,1
81,84,1
82,85,3
83,86,4
84,87,1
85,88,1
86,89,4
87,90,1
88,91,2
89,93,1
90,94,1
91,95,2
92,20,1
