,2022
1,35000
2,190900
3,48400
4,2330
5,2640
6,10
7,2000
8,68000
9,6900
10,110000
11,8500
12,16000
13,1775
14,81200
15,4300
16,61000
17,91000
18,100000
19,3300
21,106100
22,83500
23,11500
24,27000
25,7305
26,18600
27,148200
28,162000
29,40000
20,85
30,2500
31,49000
32,87200
33,5500
34,3600
35,92200
36,100000
37,105000
38,28000
39,16860
40,2600
41,87000
42,9500
43,13000
44,51020
45,94000
46,9500
47,58000
48,1900
49,78135
50,38850
51,180000
52,66000
53,80755
54,68000
55,87000
56,54300
57,74000
58,44800
59,116700
60,152900
61,80240
62,170600
63,40800
64,4700
65,4800
66,170
67,35000
68,19400
69,9500
70,35510
71,39700
72,91580
73,1300
74,3850
75,0
76,115650
77,128070
78,33340
79,105000
80,195100
81,42000
82,40000
83,445
84,2190
85,79940
86,135000
87,12600
88,24000
89,122200
90,2940
91,28380
92,0
93,320
94,415
95,23865
FRANCE,4923970
